appid,name
36900,Angle of Attack
36910,All Aspect Warfare
42147,Hamilton's Great Adventure - Retro Fever DLC
42900,Hearts of Iron III: Semper Fi
46840,Ironclads: Chincha Islands War 1866
71167,ToeJam & Earl in Panic on Funkotron
211208,VectorMan 2
285670,Galactic Command Echo Squad SE
325330,Muvee Reveal 11
353260,Snails
367040,InsanZ - Retro Survival Horror
389690,Nightclub Emporium
391410,"Rock, the Tree Hugger"
411860,Save the Creatures
431470,Inside The Code
467440,Insignificant
474880,Second Coming
494820,Acid Flip
523890,StarDrone VR
552480,Havoc Runner
588140,ESCAPE FROM VOYNA: Dead Forest
619610,Ultratank
650720,SlipDrive
657060,Himegimi Detective
661190,UNDEFINED
683840,Galaxia Conquestum
686290,RADical ROACH: Infinity
700880,Kingdom: The Far Reaches
707950,Tank Warz!
708590,Battle Master
717200,KEEPER- the hunter of insects
719300,Daemonsgate
719310,King's Table - The Legend of Ragnarok
738190,Morth
744610,TAD: That Alien Dude
745630,The redemption of pancakes
752060,Subwar 2050
768740,QuartoⒸ
773750,Danger Forever
774501,VR Soccer '96
780720,Undarkened: Revival
787580,10 Pin Bowling (VR Support)
793060,Starship
793250,Casino Poker
799340,Battle for Gaming
803940,Collapsion
817920,NO LOVE
827780,Margot's Word Brain
840940,Spirits of Metropolis: Legacy Edition
841790,Adventures in the Light & Dark
844350,Obscurity
850930,MODERN ROAD-LIKE
854510,Warlock: Tower Defence
860400,Unexpected Journey 奇幻之旅
861770,FrogStatue
863840,MinerXP
866340,Colonumbers
874780,Brick Breaker Premium
875780,Trivia King
875790,The Movie Trivia Challenge
877300,Liquid Sunshine
878310,Dishwasher
882860,Another Reigny Day
883390,Beyond the Mind
884630,Golden Fall
886450,Night of the Shrub Part 2
889990,RGBCELLS
891470,Falling Blocks
893120,Synthrun
894120,Ghostman: The Council Calamity
895210,On Board Remastered
895580,Yoga Lesson VR
904770,Divine Miracle Defense
905270,Merlin Soccer
906170,Metal Brigade Tactics
906480,Defenders of Ekron - Definitive Edition
907920,建筑大冒险 Architectural Adventure
908620,Manipulate: Sacrifice
916210,Fabrication
920580,Tanks With Hands: Armed and Treaded
921920,Robikon
923120,Food Bomber
927370,DoC God Mode Edition
931480,Lab Runner: X
936210,The Prometheus Secret Noohra
937360,Pantheon
937620,Zack Y
938360,The last soldier
943710,Arauco Saga - Rpg Action
945540,Knights of Riddle
946810,the Escape
947310,Wonderland Trails
949830,Shrines Of Sacred Essenсe
949930,HEAVEN AND HELL - the last war
951500,Poker Tower Defense
951920,Charlie's Conscious
952850,败家仔 Last Wish
953120,ADK
956430,Steampunk Graveyard
956590,Yet Another Snake Game
962170,Ultimate Legends
962650,Paroniria 梦缚
964050,"Turn the mirror, please."
967170,Drum Simulator
967180,Frozen Mystery
967210,Spark Five
971230,Daedalic Complex
972620,Gems Kingdom
974220,MEMORISE : CREATION
979550,Evolo.Mine
980600,Maze 4D
982010,ZDF History 360° – Tempelhof
982320,Battle of the Boros
984870,Tecroroid Assault
986320,AA Touch Gun!
989000,Ruthless Water
990110,87 Aftermath: A Rolling Ball Game
993860,圈圈工坊 OO.Inc
996170,Mage VR -Mini Version-
1001990,WARED
1008450,Maze Quest 2: The Desert
1008970,Cavyrn
1009030,Hello Emoji: Drawing to Solve Puzzles
1009230,live Mince
1010710,The Pack
1016350,Land of Dread
1016820,Miles of Cubes
1022040,Candy Mandy
1023020,Slime Crunch
1024150,Valentines Cafe
1025990,Human Cube
1027930,Keystones
1031230,Midnight's Curse
1033370,Fruit Crawler
1035410,xMoon
1036320,Once Upon A Death
1042900,Borderlight
1047340,TimeFall
1050170,Terramancer
1051220,busy spider
1055660,十日
1055870,Siberian Run VR
1059470,Wolfgate
1063070,Body Discovery
1064100,Krakout challenge
1064750,Space Tower
1064930,Divine D.I.V.A.
1068130,Hippo eating banana
1068300,Logitech VR Ink Driver
1070030,Under Stranger Stars
1071740,Pirates of First Star
1073960,Exemption
1076300,The Battles of Spwak
1078590,虚幻深渊 The Illusory abyss
1080090,Project ONe プロジェクト・ワン ～ハロルドはつらいよ～
1081320,Aura
1081720,Robo Run
1081960,Il Sole e la Luna
1082240,Taboos: Flower
1082700,Dinosaur Shakespeare: To Date or Not To Date?
1085840,World Leader Card Game
1086140,Weaving
1086220,rOt 3D
1086260,Deck Box Dungeons
1087310,DOOMTANK
1088110,Meowk and Frocco
1089520,Nigel: The Minuscule Adventure
1090490,Tiktalec And The Dino Moonbase
1093690,Couch Storm: Battle Royale
1094020,天下往事 Journey of the world
1098230,Eidolon adventure
1100500,Last Contingency
1101060,Lumen
1102210,The Legend of Viccess
1103040,Bepuzzled Space Jigsaw Puzzle
1104170,Cosmo Chaser
1108040,Bepuzzled Jigsaw Puzzle: Aquatic
1116300,Bounce
1119630,DarkFairyTales SleepingBeauty
1125980,VoxelSuite
1128200,Ginga Kagekidan - 放課後くるーずっ！
1128680,DOUBLE INVASION!!
1129200,Minesweep World
1129210,A Million Conquests
1129610,Book Seeker
1131230,Dominos!
1132850,Try not to die
1135560,The Thing at the Window
1136110,Hidden Objects - The Mystery House
1136870,Nibiru Voyage
1138150,Fiery catacombs
1140930,You are apt
1142440,Thanks For Listening
1142460,Super Monkey
1144900,Pension Day
1146120,DeepSea
1147200,SnL
1149630,Project: Gemini
1150670,Sorcerer Lord
1150820,Delphyq
1152830,BounceBall3D
1157100,Starazius
1159590,Lost In Dungeon
1160560,Galmon Folklore ~Monster Girl Galore!~
1163490,Gangsters 1920
1164350,Anime Otaku Girl 二次元宅女
1164520,The Book Of Yorle: Save The Church
1164760,Vugluskr: Zombie Rampage
1167800,Exphelius: Arena
1168990,Planet destroyer
1171950,Dragon Little Fighters 2
1175180,妈妈，别走
1176090,Adventure Galaxy
1177300,Space zone defender
1180840,SoulfulLand
1187670,Holo Views
1193200,K37-D
1193350,生物知识格斗大赛
1195450,HABITKING RPG
1198890,Remuage - MeltySensation
1200060,乔乔的铁拳 Joe's Fists
1204480,Candera: The Forgotten Realm
1205800,Hexon
1208470,Foxfall
1210260,Purgatory Overkill
1211060,Mission:Amazing
1214320,Frog X Log
1215720,Hero's Journey
1219310,欢乐逗病毒TD
1220580,Sky Pirates of Actorius
1223200,Cardsweeper
1224650,Super Arcade Boy in Goodbye Greenies
1226420,The Tide Intro
1227580,Trasta
1228920,Invaden
1233460,Star Escape
1234360,CanCan the Game
1235920,SwordBall
1236320,Phalanx of Resistance
1237670,Anti Air
1237700,Building the Universe: The Beginning of Time
1238340,Terra Lander II - Rockslide Rescue
1239400,Death courier
1241180,降神战役 -A Story of the usurpers-
1241810,Bowmen
1242730,双子树 TwinTrees
1246650,Réel Futur
1249620,"Adventures of JQ Jones: ""Isle of the Serpent Empress"""
1253030,Cubecois
1253460,Colouration
1256480,A Siren's Call  VR: Legacy ( A VR Short Story)
1256550,Marshmallow Tank
1256850,Audio Drive 2 VR
1257720,Help Me Now
1258290,Fantasy Memory Card Game
1258410,Shinobi no Okite/The three female ninjas
1258930,"The Sunset that day, あの日見た夕陽"
1259660,NETABOKU -A robot girl changes my life as a bedridden boy-
1260240,30 days of plague
1260920,Spirit of Adventure
1268730,Impulse Control
1269110,勇者的十日人生
1269930,Frag Grounds
1270420,Box Nation [] Lets Go Build and Fight
1272470,Alien:Chip
1274190,Southern cross Battle force
1274340,ColorsInvasion
1274850,The Sickle Upon Sekigahara
1276060,Fingertips  mountain  sea
1276090,Creator Adventure Legend
1276170,Pandemic Panic!
1276850,Kane's Shadow
1277290,C-TAS: A Virtual Chinese Learning Game
1277360,异界大陆
1278930,Math Puzzle Alpha Challenge
1282240,泡泡三国
1282740,CNDL
1283620,Run!!!
1283720,Cube Miners
1284740,不思議の鎮守府
1287180,Squares
1291470,Robot Paradise VR
1291990,Magic Forms
1293430,Space Junk
1293950,Masquerade of Miasma
1294340,Wonhon: A Vengeful Spirit
1298390,Rubble Bubble
1299660,WiP
1299720,Les Manley in: Search for the King
1300140,HereticOS MR Lab
1300180,The Cubedex of Brass and Wood
1300790,Dayscream
1303160,Dig Bombers
1303210,Small Ball
1303270,Ungeon
1304100,The Adventures of Fatman: Intergalactic Indigestion
1304790,罗马之链
1305610,Cosmodome
1310770,Valiantia
1311930,Robot Invasion
1312160,Astro Dash
1313330,HEDE Game Engine
1315900,3d Maze In Space
1320110,The Adventurer - Episode 2: New Dreams
1321110,MonsterTerritory
1323190,Sbeve
1323580,Buddy's Creative Quest!
1324730,Steam revolution VR
1326710,TIGER GAME ASSETS
1331410,Rogue Bots
1334120,Goblin Rush
1335600,Tiny T
